ACCELLEROMETRI,NETWORK,CODE,NOME STAZIONE,REGIONE,PROVINCIA,COMUNE,LATITUDINE,LONGITUDINE,PGA(cm/s2)ACCUMOLI
152,IT,MVO,,ABRUZZO,TERAMO,MONTORIO AL VOMANO,42.5812,13.6246,
153,IT,NCB,NOCERA UMBRA BISCONTINI,UMBRIA,PERUGIA,NOCERA UMBRA,43.102777,12.805277,
154,IT,NCM,NOCERA UMBRA SALMATA,UMBRIA,PERUGIA,NOCERA UMBRA,43.14917,12.797222,
155,IT,NCR,NOCERA UMBRA,UMBRIA,PERUGIA,NOCERA UMBRA,43.111583,12.784666,217.559
156,IT,NCR2,NOCERA UMBRA 2,UMBRIA,PERUGIA,NOCERA UMBRA,43.111583,12.784666,
157,IT,NOCE,NOCERA UMBRA P.I.,UMBRIA,PERUGIA,NOCERA UMBRA,43.12,12.792,
158,IT,NOR,NORCIA LA CASTELLINA,UMBRIA,PERUGIA,NORCIA,42.792442,13.092422,244.4
159,IT,NRC,NORCIA ,UMBRIA,PERUGIA,NORCIA,42.792543,13.096475,366.772
160,IV,NRCA,NORCIA,UMBRIA,PERUGIA,NORCIA,42.833549,13.11427,
161,IT,NRN,NARNI,UMBRIA,TERNI,NARNI,42.51556,12.51944,8.544
162,IT,ORC,ORTUCCHIO (NUOVA),ABRUZZO,L'AQUILA,ORTUCCHIO,41.953606,13.642346,
163,IT,ORT,ORTUCCHIO ,ABRUZZO,L'AQUILA,ORTUCCHIO,41.956111,13.645833,
164,IT,PAN,PANICALE,UMBRIA,PERUGIA,PANICALE,43.00581,12.14362,5.056
165,IT,PBN,,MARCHE,MACERATA,CAMERINO,43.063702,13.0821,
166,IT,PCB,POGGIO CANCELLI (BASE DIGA),ABRUZZO,L'AQUILA,CAMPOTOSTO,42.558022,13.33799,301.849
167,IV,PCRO,PIETRA CROCE,MARCHE,ANCONA,ANCONA,43.6077,13.5323,
168,IT,PGC,POGGIO CANCELLI (CAMPOTOSTO),ABRUZZO,L'AQUILA,CAMPOTOSTO,42.558611,13.339167,
169,IT,PGG,POGGIO PICENZE,ABRUZZO,L'AQUILA,POGGIO PICENZE,42.322872,13.539446,44.784
170,IT,PGN,PIGNATARO,LAZIO,FROSINONE,CASSINO,41.452432,13.791633,
171,IT,PIC,PIANCASTAGNAIO,TOSCANA,SIENA,PIANCASTAGNAIO,42.850376,11.684975,
172,IV,PIEI,PIEIA,MARCHE,PESARO E URBINO,CAGLI,43.53567,12.535,8.325
173,IV,PIO1,PIORACO,MARCHE,MACERATA,PIORACO,43.1782,12.9838,
174,IT,PLS,PALOMBARA SABINA S.S. 636,LAZIO,ROMA,PALOMBARA SABINA,42.083556,12.762627,
175,IT,PNC,PIANCASTAGNAIO,TOSCANA,SIENA,PIANCASTAGNAIO,42.847446,11.693599,3.668
176,IT,PNS,PIANCASTAGNAIO (NATALI),TOSCANA,SIENA,PIANCASTAGNAIO,42.845556,11.686667,
177,IT,PNT,PONTECORVO,LAZIO,FROSINONE,CASTROCIELO,41.498611,13.682778,
178,IV,POFI,POSTA FIBRENO,LAZIO,FROSINONE,CAMPOLI APPENNINO,41.71743,13.71202,2.554
179,IV,PP3,MAROLINO (POTENZA PICENA),MARCHE,MACERATA,POTENZA PICENA,43.3778,13.6095,49.581
180,IT,PRE,PRECI,UMBRIA,PERUGIA,PRECI,42.879299,13.0334,
181,IT,PRG,PERUGIA,UMBRIA,PERUGIA,PERUGIA,43.111031,12.325171,
182,IT,PSC,PESCASSEROLI,ABRUZZO,L'AQUILA,PESCASSEROLI,41.812042,13.789196,4.462
183,IT,PSC00,PESCASSEROLI CENTRO,ABRUZZO,L'AQUILA,PESCASSEROLI,41.81,13.789722,
184,IT,PTI,PETRITOLI,MARCHE,FERMO,PETRITOLI,43.066567,13.657076,37.828
185,IT,PTL,PITRALUNGA,UMBRIA,PERUGIA,GUBBIO,43.427334,12.448597,12.488
186,IT,PZI,PIZZOLI,ABRUZZO,L'AQUILA,PIZZOLI,42.436729,13.32643,
187,IT,PZI1,PIZZOLI,ABRUZZO,L'AQUILA,PIZZOLI,42.4356,13.3262,45.146
188,IT,RFC,RIO FUCINO (CAMPOTOSTO),ABRUZZO,L'AQUILA,L'AQUILA,42.535833,13.409722,
189,IT,RIP,RIPA (FAGNANO),ABRUZZO,L'AQUILA,FAGNANO ALTO,42.265,13.599167,
190,IV,RM01,RM01,ABRUZZO,L'AQUILA,LUCOLI,42.2767,13.3356,
191,IV,RM02,RM02,ABRUZZO,L'AQUILA,L'AQUILA,42.343,13.3283,
192,IV,RM03,RM03,ABRUZZO,L'AQUILA,OCRE,42.2743,13.4717,
193,IV,RM04,RM04,ABRUZZO,L'AQUILA,LUCOLI,42.1885,13.4515,
194,IV,RM05,RM05,ABRUZZO,L'AQUILA,BARETE,42.4387,13.2588,
195,IV,RM06,RM06,ABRUZZO,L'AQUILA,SCOPPITO,42.3775,13.2438,
196,IV,RM07,RM07,ABRUZZO,L'AQUILA,L'AQUILA,42.405,13.4065,
197,IV,RM08,RM08,ABRUZZO,L'AQUILA,L'AQUILA,42.3719,13.5047,
198,IV,RM09,RM09,ABRUZZO,L'AQUILA,CAGNANO AMITERNO,42.4355,13.1865,4.599
199,IV,RM10,RM10,ABRUZZO,RIETI,MONTEREALE,42.509,13.1864,
200,IV,RM11,RM11,ABRUZZO,L'AQUILA,CAPITIGNANO,42.5382,13.2772,
201,IV,RM13,RM13,ABRUZZO,L'AQUILA,ROCCA DI MEZZO,42.1816,13.581,
202,IV,RM14,RM14,ABRUZZO,L'AQUILA,L'AQUILA,42.3454,13.5722,
203,IV,RM18,RM18,ABRUZZO,TERAMO,FANO ADRIANO,42.5499,13.5318,
204,IV,RM20,RM20,LAZIO,RIETI,BORBONA,42.5249,13.1264,
205,IV,RM21,RM21,LAZIO,RIETI,CITTAREALE,42.6278,13.1416,
206,IV,RM22,RM22,LAZIO,RIETI,MICIGLIANO,42.4445,13.0488,
207,IV,RM24,RM24,ABRUZZO,L'AQUILA,ROCCA DI MEZZO,42.171,13.4724,
208,IV,RM25,RM25,LAZIO,RIETI,AMATRICE,42.6223,13.2815,
209,IV,RM26,RM26,ABRUZZO,L'AQUILA,L'AQUILA,42.4569,13.3563,
210,IV,RM27,RM27,ABRUZZO,L'AQUILA,CARAPELLE CALVISIO,42.3018,13.6799,
211,IV,RM28,RM28,ABRUZZO,L'AQUILA,L'AQUILA,42.4024,13.5486,
212,IV,RM29,RM29,ABRUZZO,L'AQUILA,MONTEREALE,42.5613,13.2084,
213,IV,RM30,RM30,LAZIO,RIETI,POSTA,42.5332,13.0931,
214,IV,RM31,RM31,LAZIO,RIETI,ACCUMOLI,42.7023,13.2331,
215,IV,RM32,RM32,LAZIO,RIETI,AMATRICE,42.5674,13.2898,
216,IV,RM33,PELLESCRITTA,ABRUZZO,L'AQUILA,MONTEREALE,42.509,13.2145,100.36
217,IT,RMCL,,LAZIO,ROMA,ROMA,41.914001,12.4542,
218,IT,RMMM,,LAZIO,ROMA,ROMA,41.923199,12.4526,
219,IT,RMVT,,LAZIO,ROMA,ROMA,41.956001,12.4859,
220,IV,ROM9,ROMA (SEDE INGV),LAZIO,ROMA,ROMA,41.82869,12.51553,
221,IT,RQT,ARQUATA DEL TRONTO,MARCHE,ASCOLI PICENO,ARQUATA DEL TRONTO,42.813091,13.311026,0.006
222,IT,RSM,,ABRUZZO,TERAMO,ROCCA SANTA MARIA,42.687099,13.5276,
223,IT,RTI,RIETI(CAB. ENEL),LAZIO,RIETI,RIETI,42.430278,12.829097,29.248
224,IV,SACS,SAN CASCIANO DEI BAGNI,TOSCANA,SIENA,ALLERONA,42.84906,11.90967,4.159
225,IT,SBC,SUBIACO,LAZIO,ROMA,SUBIACO,41.913158,13.105518,5.765
226,IT,SBT,S. BENEDETTO,MARCHE,ASCOLI PICENO,SAN BENEDETTO DEL TRONTO,42.933846,13.860366,37.462
227,IT,SCF,SCAFA,ABRUZZO,PESCARA,SCAFA,42.265117,13.998489,33.175
228,IT,SCHE,SCHEGGIA,UMBRIA,PERUGIA,SCHEGGIA E PASCELUPO,43.403702,12.6683,
229,IT,SCN,SCANNO,ABRUZZO,L'AQUILA,SCANNO,41.918655,13.872396,
230,IT,SCO,,ABRUZZO,L'AQUILA,SCOPPITO,42.363201,13.2656,
231,IT,SDM,S. DEMETRIO NEI VESTINI,ABRUZZO,L'AQUILA,SAN DEMETRIO NEI VESTINI,42.289706,13.557652,23.078
232,IV,SEF1,SEFRO,MARCHE,MACERATA,SEFRO,43.14683,12.94762,
233,IT,SELE,SELLANO EST,UMBRIA,PERUGIA,SELLANO,42.889216,12.927975,
234,IT,SELW,SELLANO OVEST,UMBRIA,PERUGIA,SELLANO,42.88621,12.921806,
235,IT,SER,SERRAVALLE DI CHIENTI,MARCHE,MACERATA,SERRAVALLE DI CHIENTI,43.071179,12.953137,
236,IT,SIG,SIGILLO,UMBRIA,PERUGIA,SIGILLO,43.330799,12.7408,24.928
237,IT,SLO,SELLANO,UMBRIA,PERUGIA,SELLANO,42.900253,12.952842,
238,IT,SNI,SANGEMINI,UMBRIA,TERNI,SAN GEMINI,42.632,12.5536,32.729
239,IT,SNO,SARNANO,MARCHE,MACERATA,SARNANO,43.03717,13.304135,90.308
240,IT,SNS,SANSEPOLCRO,TOSCANA,AREZZO,SANSEPOLCRO,43.56739,12.143375,11.278
241,IV,SNTG,ESANATOGLIA,MARCHE,MACERATA,ESANATOGLIA,43.255,12.9406,
242,IT,SOR,SORA,LAZIO,FROSINONE,SORA,41.720299,13.6136,6.862
243,IT,SPC,SPOLETO (CANTINA),UMBRIA,PERUGIA,SPOLETO,42.743469,12.739693,
244,IT,SPD,SELLA PEDICATE (CAMPOTOSTO),ABRUZZO,L'AQUILA,L'AQUILA,42.515139,13.371038,99.848
245,IT,SPL,SPOLETO ,UMBRIA,PERUGIA,SPOLETO,42.736111,12.736944,
246,IT,SPM,SPOLETO (MONTELUCO),UMBRIA,PERUGIA,SPOLETO,42.72324,12.751268,65.951
247,IT,SPO,SPOLETO,UMBRIA,PERUGIA,SPOLETO,42.733585,12.740602,
248,IT,SPO1,SPOLETO 2,UMBRIA,PERUGIA,SPOLETO,42.734402,12.7363,47.837
249,IT,SRL,SIROLO,MARCHE,ANCONA,SIROLO,43.517905,13.619388,25.739
250,IT,SSC,S. CASCIANO DEI BAGNI,TOSCANA,SIENA,CETONA,42.874725,11.876788,2.61
251,IV,SSFR,MONTELAGO SASSOFERRATO,MARCHE,ANCONA,SASSOFERRATO,43.4363,12.7822,57.109
252,IT,SSG,SANSEPOLCRO GRAGNANO,TOSCANA,AREZZO,SANSEPOLCRO,43.569859,12.146323,9.189
253,IV,SSM1,SAN SEVERINO MARCHE,MARCHE,MACERATA,SAN SEVERINO MARCHE,43.228783,13.176956,
254,IT,SSO,SANSEPOLCRO OSPEDALE,TOSCANA,AREZZO,SANSEPOLCRO,43.571499,12.154,5.938
255,IT,SSP,SANSEPOLCRO CITTA',TOSCANA,AREZZO,SANSEPOLCRO,43.569167,12.146944,
256,IT,SVT,S. VITTORINO (L'AQUILA),ABRUZZO,L'AQUILA,L'AQUILA,42.396944,13.313611,
257,IT,SUL,SULMONA,ABRUZZO,L'AQUILA,SULMONA,42.089,13.934,6.072
258,IT,SULA,SULMONA AUTOPARCO,ABRUZZO,L'AQUILA,SULMONA,42.0734,13.9166,23.23
259,IT,SULC,SULMONA CONSORZIO,ABRUZZO,L'AQUILA,SULMONA,42.068,13.909,15.699
260,IT,SULP,SULMONA POLIZIA,ABRUZZO,L'AQUILA,SULMONA,42.085,13.9274,22.181
261,IV,T0101,T0101,ABRUZZO,L'AQUILA,L'AQUILA,42.3308,13.3026,
262,IV,T0102,T0102,ABRUZZO,L'AQUILA,L'AQUILA,42.3967,13.3139,
263,IV,T0104,SS17-COPPITO,ABRUZZO,L'AQUILA,L'AQUILA,42.359901,13.3382,
264,IV,T0105,T0105,ABRUZZO,L'AQUILA,OCRE,42.3109,13.4629,
265,IV,T0106,T0106,ABRUZZO,L'AQUILA,L'AQUILA,42.3069,13.3837,
266,IV,T0107,S. PELINO,ABRUZZO,L'AQUILA,CAGNANO AMITERNO,42.472599,13.2475,
267,IV,T0110,COLLEPIETRO,ABRUZZO,L'AQUILA,CAPESTRANO,42.226398,13.7791,
268,IV,T0202,T0202,LAZIO,FROSINONE,ISOLA DEL LIRI,41.7012,13.5468,
269,IV,T0203,T0203,LAZIO,FROSINONE,CASALATTICO,41.6187,13.7213,
270,IV,T0204,T0204,ABRUZZO,L'AQUILA,GIOIA DEI MARSI,41.8666,13.7809,
271,IV,T0205,T0205,ABRUZZO,L'AQUILA,BALSORANO,41.7954,13.6045,
272,IV,T0401,T0401,MARCHE,FERMO,MONTOTTONE,43.0621,13.5957,
273,IV,T1201,DOMO,LAZIO,RIETI,AMATRICE,42.6573,13.2508,
274,IV,T1211,MORRO REATINO,LAZIO,RIETI,LEONESSA,42.532852,12.855145,
275,IV,T1212,AVENDITA,UMBRIA,PERUGIA,NORCIA,42.751556,13.044636,
276,IV,T1213,SAVELLI,UMBRIA,PERUGIA,NORCIA,42.724918,13.125775,
277,IV,T1214,FORCA CANAPINE,MARCHE,ASCOLI PICENO,ARQUATA DEL TRONTO,42.759537,13.208697,
278,IV,T1215,REGGIANO,UMBRIA,PERUGIA,VALLO DI NERA,42.80188,12.868511,
279,IV,T1216,CASTELVECCHIO,UMBRIA,PERUGIA,PRECI,42.890667,13.019,
280,IV,T1217,POGGIODOMO,UMBRIA,PERUGIA,POGGIODOMO,42.711902,12.931333,
281,IV,T1218,CIVITANOVA,UMBRIA,PERUGIA,CASCIA,42.669983,13.115224,
282,IV,T1219,MASSAPROFOGLIO,MARCHE,MACERATA,PIEVE TORINA,43.05583,13.00473,
283,IV,T1220,BAREGNANO (CAMERINO),MARCHE,MACERATA,CAMERINO,43.11018,13.08894,
284,IV,T1221,SPINA NUOVA,UMBRIA,PERUGIA,CAMPELLO SUL CLITUNNO,42.860508,12.847005,
285,IV,T1222,"CASTEL SANT'ANGELO,LOC. VILLE(RI)",LAZIO,RIETI,CASTEL SANT'ANGELO ,42.401383,13.036717,
286,IV,T1241,ROCCAFLUVIONE,MARCHE,ASCOLI PICENO,ROCCAFLUVIONE,42.85635,13.43116,
287,IV,T1242,CASTELLUCCIO DI NORCIA,UMBRIA,PERUGIA,NORCIA,42.82925,13.20436,
288,IV,T1243,VALLE CASTELLANA,ABRUZZO,TERAMO,VALLE CASTELLANA,42.69657,13.44839,
289,IV,T1244,SPELONGA,MARCHE,ASCOLI PICENO,ARQUATA DEL TRONTO,42.75697,13.29779,
290,IV,T1245,SS 136 CASTELLUCCIO DI NORCIA,MARCHE,MACERATA,CASTEL SANT'ANGELO SUL NERA,42.85654,13.18798,
291,IV,T1256,BOLOGNOLA,MARCHE,MACERATA,BOLOGNOLA,43.00631,13.22604,
292,IV,T1299,"AMATRICE,CASALE BUCCI",LAZIO,RIETI,AMATRICE,42.634223,13.282205,
293,IT,TER,TERELLE,ABRUZZO,TERAMO,TERAMO,42.656555,13.689544,64.779
294,IV,TERO,TERAMO,ABRUZZO,TERAMO,TERAMO,42.62279,13.60393,83.551
295,IT,TLN,TOLENTINO,MARCHE,MACERATA,TOLENTINO,43.215904,13.25838,116.173
296,IT,TOD,TODI,UMBRIA,PERUGIA,TODI,42.738174,12.387275,18.733
297,IT,TRE,TREVI,UMBRIA,PERUGIA,TREVI,42.876499,12.7358,108.501
298,IV,TRE1,TREIA,MARCHE,MACERATA,TREIA,43.311198,13.312848,71.314
299,IT,TRL,TERMINILLO,LAZIO,RIETI,RIETI,42.461314,12.932308,38.434
300,IT,TRN,TERNI,UMBRIA,TERNI,TERNI,42.553056,12.600556,
301,IT,TRN1,TERNI 2,UMBRIA,TERNI,TERNI,42.558201,12.6461,13.637
302,IV,TRTR,TORTORETO ALTA,ABRUZZO,TERAMO,TORTORETO,42.808102,13.9138,
303,IT,TSC,TUSCANIA,LAZIO,VITERBO,TUSCANIA,42.422613,11.8696,7.11
304,IT,TVL,TIVOLI,LAZIO,ROMA,GALLICANO NEL LAZIO,41.893015,12.773221,16.268
305,IT,UST,,MARCHE,MACERATA,VISSO,42.941898,13.125,
306,IT,VAL,VALFABBRICA,UMBRIA,PERUGIA,VALABBRICA,43.159302,12.6017,58.27
307,IT,VLB,VILLETTA BARREA,ABRUZZO,L'AQUILA,BARREA,41.759167,13.988889,
308,IT,VLL,VELLETRI,LAZIO,ROMA,VELLETRI,41.67047,12.77267,6.336
309,IT,VLN,VALIANO (MONTEPULCIANO),TOSCANA,SIENA,MONTEPULCIANO,43.142733,11.894722,10.796
310,IT,VNF,VENAFRO,MOLISE,ISERNIA,VENAFRO,41.4875,14.0506,6.445
